case,err,severe_lines,fatal_lines,warmup_convergence_lines,summary_warnings,summary_severe,completed_successfully,summary
kolkata_ssp585_near_2030s_hot_2030,diagnostic_reference_zone_raw_full/energyplus/kolkata_ssp585_near_2030s_hot_2030/diagnostic_reference/eplusout.err,0,0,0,20977,0,True,************* EnergyPlus Completed Successfully-- 20977 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.48sec
kolkata_ssp585_near_2030s_typical_2038,diagnostic_reference_zone_raw_full/energyplus/kolkata_ssp585_near_2030s_typical_2038/diagnostic_reference/eplusout.err,0,0,0,20996,0,True,************* EnergyPlus Completed Successfully-- 20996 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.28sec
phoenix_ssp245_baseline_2020s_heatwave_extreme_2025,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp245_baseline_2020s_heatwave_extreme_2025/diagnostic_reference/eplusout.err,0,0,0,21382,0,True,************* EnergyPlus Completed Successfully-- 21382 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.90sec
phoenix_ssp245_baseline_2020s_hot_2028,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp245_baseline_2020s_hot_2028/diagnostic_reference/eplusout.err,0,0,0,20285,0,True,************* EnergyPlus Completed Successfully-- 20285 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 56.95sec
phoenix_ssp245_baseline_2020s_typical_2026,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp245_baseline_2020s_typical_2026/diagnostic_reference/eplusout.err,0,0,0,20818,0,True,************* EnergyPlus Completed Successfully-- 20818 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 57.13sec
phoenix_ssp245_late_2080s_heatwave_extreme_2086,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp245_late_2080s_heatwave_extreme_2086/diagnostic_reference/eplusout.err,0,0,0,20805,0,True,************* EnergyPlus Completed Successfully-- 20805 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 58.29sec
phoenix_ssp245_late_2080s_hot_2086,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp245_late_2080s_hot_2086/diagnostic_reference/eplusout.err,0,0,0,20805,0,True,************* EnergyPlus Completed Successfully-- 20805 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 58.97sec
phoenix_ssp245_late_2080s_typical_2081,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp245_late_2080s_typical_2081/diagnostic_reference/eplusout.err,0,0,0,20236,0,True,************* EnergyPlus Completed Successfully-- 20236 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 59.66sec
phoenix_ssp245_mid_2050s_heatwave_extreme_2051,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp245_mid_2050s_heatwave_extreme_2051/diagnostic_reference/eplusout.err,0,0,0,21253,0,True,************* EnergyPlus Completed Successfully-- 21253 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 57.65sec
phoenix_ssp245_mid_2050s_hot_2058,diagnostic_reference_zone_raw_full/energyplus/phoenix_ssp245_mid_2050s_hot_2058/diagnostic_reference/eplusout.err,0,0,0,20291,0,True,************* EnergyPlus Completed Successfully-- 20291 Warning; 0 Severe Errors; Elapsed Time=00hr 00min 58.45sec
