scope,city,threshold,rows,mean_zone_high_tail_pct,p90_zone_high_tail_pct,any_zone_high_tail_pct,hidden_any_zone_pct,mean_warm_tail_high_pct,mean_cold_tail_high_pct
city,Ahmedabad,0.05,400896,99.77799728607918,99.96906928480205,99.9997505587484,0.22175327266922093,71.07554078863346,0.41207694763729247
city,Ahmedabad,0.1,400896,51.897250159642404,64.18397788952745,75.42529733397191,23.5280471743295,41.23338721264368,0.0
city,Ahmedabad,0.15,400896,30.181393678160916,51.06461526181354,61.02305834929758,30.841664671136655,22.863785121328224,0.0
city,Ahmedabad,0.2,400896,17.538962723499363,44.33394196998723,55.02848619093231,37.48952346743295,15.344877474457217,0.0
city,Ahmedabad,0.25,400896,11.917804118773946,36.628701708173686,48.9049529054917,36.987148786717746,10.272988505747128,0.0
city,Ahmedabad,0.3,400896,7.525892001915708,27.545547972541506,37.572088521711365,30.04619651979566,6.468261095146871,0.0
city,Ahmedabad,0.35,400896,3.767810105363985,21.134907806513407,29.601193326947637,25.83338322158365,2.8688238346104726,0.0
city,Ahmedabad,0.4,400896,1.2050506864623243,13.36231840676884,21.744791666666664,20.539740980204343,0.827147190293742,0.0
city,Beijing,0.05,400896,99.61361550127714,99.95260616219667,99.9997505587484,0.38613505747126436,65.62649664750958,0.9608477011494252
city,Beijing,0.1,400896,20.08700510855683,47.62631704980843,61.25578703703704,41.1687819284802,10.573814655172415,0.0
city,Beijing,0.15,400896,7.549090038314176,17.98895474137931,29.551554517879946,22.002464479565774,6.631645114942529,0.0
city,Beijing,0.2,400896,5.433828224776501,10.323126197318008,16.05403895274585,10.620210727969347,4.905012771392082,0.0
city,Beijing,0.25,400896,4.055665309706258,7.319853528097063,11.10687060983397,7.051205300127713,3.664042544699872,0.0
city,Beijing,0.3,400896,2.73088282247765,5.0768777937420175,7.628162915070242,4.897280092592593,2.402618135376756,0.0
city,Beijing,0.35,400896,1.4425187579821201,3.940922333971903,5.156200111749681,3.713681353767561,1.2250059865900382,0.0
city,Beijing,0.4,400896,0.5370470146871009,1.9715836526181352,3.0177402618135374,2.4806932471264367,0.4320322477650064,0.0
city,Guangzhou,0.05,400896,98.50235472541507,99.82414391762453,99.99775502873564,1.4954003033205618,51.027448515325666,1.869063298212005
city,Guangzhou,0.1,400896,31.549329501915707,44.19799648786717,54.05691251596424,22.50758301404853,24.30380946679438,0.0
city,Guangzhou,0.15,400896,18.725055874840358,31.362747445721585,37.48378631864623,18.758730443805874,16.115900383141764,0.0
city,Guangzhou,0.2,400896,12.673361669859515,24.620350415070245,32.655102570242654,19.98174090038314,11.07419380587484,0.0
city,Guangzhou,0.25,400896,8.335079422094509,18.911388489782887,26.470206736909326,18.135127314814813,7.187649664750957,0.0
city,Guangzhou,0.3,400896,4.403136973180077,13.225874042145595,17.833802282886335,13.430665309706258,3.6111609993614304,0.0
city,Guangzhou,0.35,400896,2.057640884418902,9.938737228607918,13.787865181992338,11.730224297573436,1.6298491379310345,0.0
city,Guangzhou,0.4,400896,0.45298531289910604,4.630377953384419,8.40617017879949,7.953184865900383,0.2629110791826309,0.0
city,Houston,0.05,400896,98.72136414431672,99.82913274265644,99.99625838122606,1.274894236909323,46.20924129948914,4.080110552362708
city,Houston,0.1,400896,29.19585129310345,41.629499920178795,51.05563537675607,21.859784083652617,23.42627514367816,0.0
city,Houston,0.15,400896,18.68564415708812,28.585219109195403,32.98087284482759,14.295228687739463,16.13485791826309,0.0
city,Houston,0.2,400896,12.456597222222223,23.353188856960408,29.422842832056194,16.966245609833972,10.676335009578544,0.0
city,Houston,0.25,400896,7.691271551724138,18.292025862068968,24.69593111430396,17.00465956257982,6.458283445083015,0.0
city,Houston,0.3,400896,3.8558628671775224,12.834251277139208,17.106681034482758,13.250818167305237,2.889278017241379,0.0
city,Houston,0.35,400896,0.9675826149425286,9.067937819284802,13.222132423371647,12.254549808429118,0.6255986590038314,0.0
city,Houston,0.4,400896,0.06186143039591316,3.217542704342273,7.22930635376756,7.167444923371648,0.02619133141762452,0.0
city,Kolkata,0.05,400896,98.51632343550448,99.79396152618135,99.99750558748404,1.4811821519795658,62.06547333971903,0.21950830140485314
city,Kolkata,0.1,400896,43.449672733077904,55.486210887611755,64.0901879789272,20.640515245849297,33.68230164431673,0.0
city,Kolkata,0.15,400896,26.99652777777778,43.77145194763729,51.185344827586206,24.188817049808428,23.80168422733078,0.0
city,Kolkata,0.2,400896,19.719827586206897,36.77836645913155,46.71061821519796,26.990790628991064,17.78890285759898,0.0
city,Kolkata,0.25,400896,14.156289910600256,29.021990740740737,39.99865301724138,25.842363106641127,12.63469827586207,0.0
city,Kolkata,0.3,400896,9.413663393997446,21.435983397190295,28.703454262452105,19.289790868454663,8.108337324393359,0.0
city,Kolkata,0.35,400896,5.1609394955300125,16.454142720306514,22.485881625159642,17.32494212962963,4.364473579182631,0.0
city,Kolkata,0.4,400896,1.52134219348659,8.910290948275861,14.531449553001277,13.010107359514686,0.9905312100893997,0.0
city,Phoenix,0.05,400896,100.0,100.0,100.0,0.0,89.22139407726692,2.42606561302682
city,Phoenix,0.1,400896,57.972890724776505,75.80744133141762,86.12607758620689,28.153186861430395,35.206886574074076,0.0
city,Phoenix,0.15,400896,23.698914431673053,47.86478288633461,58.23280850893997,34.53389407726692,18.852270913154534,0.0
city,Phoenix,0.2,400896,15.26081577266922,35.105613425925924,45.25637571839081,29.995559945721585,13.39075470945083,0.0
city,Phoenix,0.25,400896,11.029793263090678,28.72091515006386,38.53318566411239,27.50339240102171,9.701768039591316,0.0
city,Phoenix,0.3,400896,7.5450989782886335,23.304797254150703,32.249261653895275,24.704162675606643,6.565044300766283,0.0
city,Phoenix,0.35,400896,4.940183987867178,17.291766443167305,25.424050127713922,20.483866139846743,4.2255348020434225,0.0
city,Phoenix,0.4,400896,2.9246986749680715,13.253063138569605,19.8101253192848,16.88542664431673,2.4387871168582373,0.0
